"","Start","ID","Type","Via","Altitude(ft/m)","Position (lat/long)","Distance (leg/total)","Name","URL"
"26","•","5800S01500W","LATLON","-","35,000 / 10,668","-58.00000 / -15.00000","159  / 2835 nm","","https://flightplandatabase.com/plan/1048871"
"27","•","5800S01000W","LATLON","-","35,000 / 10,668","-58.00000 / -10.00000","159  / 2994 nm","","https://flightplandatabase.com/plan/1048871"
"28","•","5800S0500W","LATLON","-","35,000 / 10,668","-58.00000 / -5.00000","159  / 3153 nm","","https://flightplandatabase.com/plan/1048871"
"29","•","5800S0000E","LATLON","-","35,000 / 10,668","-58.00000 / 0.00000","159  / 3312 nm","","https://flightplandatabase.com/plan/1048871"
"30","•","5800S0500E","LATLON","-","35,000 / 10,668","-58.00000 / 5.00000","159  / 3471 nm","","https://flightplandatabase.com/plan/1048871"
"31","•","5800S01000E","LATLON","-","35,000 / 10,668","-58.00000 / 10.00000","159  / 3631 nm","","https://flightplandatabase.com/plan/1048871"
"32","•","5700S01500E","LATLON","-","35,000 / 10,668","-57.00000 / 15.00000","172  / 3803 nm","","https://flightplandatabase.com/plan/1048871"
"33","•","5600S02000E","LATLON","-","35,000 / 10,668","-56.00000 / 20.00000","176  / 3979 nm","","https://flightplandatabase.com/plan/1048871"
"34","•","5500S02500E","LATLON","-","35,000 / 10,668","-55.00000 / 25.00000","180  / 4159 nm","","https://flightplandatabase.com/plan/1048871"
"35","•","5400S03000E","LATLON","-","35,000 / 10,668","-54.00000 / 30.00000","184  / 4344 nm","","https://flightplandatabase.com/plan/1048871"
"36","•","5200S03500E","LATLON","-","35,000 / 10,668","-52.00000 / 35.00000","216  / 4561 nm","","https://flightplandatabase.com/plan/1048871"
"37","•","5000S04000E","LATLON","-","35,000 / 10,668","-50.00000 / 40.00000","223  / 4784 nm","","https://flightplandatabase.com/plan/1048871"
"38","•","4800S04500E","LATLON","-","35,000 / 10,668","-48.00000 / 45.00000","230  / 5015 nm","","https://flightplandatabase.com/plan/1048871"
"39","•","4500S05000E","LATLON","-","35,000 / 10,668","-45.00000 / 50.00000","274  / 5289 nm","","https://flightplandatabase.com/plan/1048871"
"40","•","4200S05500E","LATLON","-","35,000 / 10,668","-42.00000 / 55.00000","282  / 5572 nm","","https://flightplandatabase.com/plan/1048871"
"41","•","BIGSA","FIX","-","35,000 / 10,668","-40.21667 / 57.00000","140  / 5712 nm","","https://flightplandatabase.com/plan/1048871"
"42","•","3700S06000E","LATLON","-","35,000 / 10,668","-37.00000 / 60.00000","239  / 5951 nm","","https://flightplandatabase.com/plan/1048871"
"43","•","3600S06000E","LATLON","-","35,000 / 10,668","-36.00000 / 60.00000","60  / 6011 nm","","https://flightplandatabase.com/plan/1048871"
"44","•","ENTEN","FIX","-","35,000 / 10,668","-33.08333 / 65.00000","303  / 6314 nm","","https://flightplandatabase.com/plan/1048871"
"45","•","3300S06500E","LATLON","-","35,000 / 10,668","-33.00000 / 65.00000","5  / 6319 nm","","https://flightplandatabase.com/plan/1048871"
"46","•","3200S06500E","LATLON","-","35,000 / 10,668","-32.00000 / 65.00000","60  / 6379 nm","","https://flightplandatabase.com/plan/1048871"
"47","•","3100S06500E","LATLON","-","35,000 / 10,668","-31.00000 / 65.00000","60  / 6439 nm","","https://flightplandatabase.com/plan/1048871"
"48","•","EPMOL","FIX","-","35,000 / 10,668","-30.53056 / 65.00000","28  / 6467 nm","","https://flightplandatabase.com/plan/1048871"
"49","•","3000S06500E","LATLON","-","35,000 / 10,668","-30.00000 / 65.00000","31  / 6499 nm","","https://flightplandatabase.com/plan/1048871"
"50","•","2600S07000E","LATLON","-","35,000 / 10,668","-26.00000 / 70.00000","357  / 6857 nm","","https://flightplandatabase.com/plan/1048871"
"51","•","2500S07000E","LATLON","-","35,000 / 10,668","-25.00000 / 70.00000","60  / 6917 nm","","https://flightplandatabase.com/plan/1048871"
"52","•","2400S07000E","LATLON","-","35,000 / 10,668","-24.00000 / 70.00000","60  / 6977 nm","","https://flightplandatabase.com/plan/1048871"
"53","•","2300S07000E","LATLON","-","35,000 / 10,668","-23.00000 / 70.00000","60  / 7037 nm","","https://flightplandatabase.com/plan/1048871"
"54","•","2200S07000E","LATLON","-","35,000 / 10,668","-22.00000 / 70.00000","60  / 7097 nm","","https://flightplandatabase.com/plan/1048871"
"55","•","2100S07000E","LATLON","-","35,000 / 10,668","-21.00000 / 70.00000","60  / 7157 nm","","https://flightplandatabase.com/plan/1048871"
"56","•","TATOG","FIX","-","35,000 / 10,668","-18.74194 / 70.00000","135  / 7293 nm","","https://flightplandatabase.com/plan/1048871"
"57","•","PAKTI","FIX","-","35,000 / 10,668","-15.53972 / 70.00000","192  / 7485 nm","","https://flightplandatabase.com/plan/1048871"
"58","•","PEDPI","FIX","UB335F (AWY-LO)","35,000 / 10,668","-13.27667 / 75.00000","321  / 7806 nm","","https://flightplandatabase.com/plan/1048871"
"59","•","1300S07500E","LATLON","-","35,000 / 10,668","-13.00000 / 75.00000","16  / 7823 nm","","https://flightplandatabase.com/plan/1048871"
"60","•","LELED","FIX","-","35,000 / 10,668","-11.27667 / 75.00000","103  / 7926 nm","","https://flightplandatabase.com/plan/1048871"
"61","•","UBNIS","FIX","B344 (AWY-LO)","35,000 / 10,668","-8.27167 / 80.00000","346  / 8273 nm","","https://flightplandatabase.com/plan/1048871"
"62","•","800S08000E","LATLON","-","35,000 / 10,668","-8.00000 / 80.00000","16  / 8289 nm","","https://flightplandatabase.com/plan/1048871"
"63","•","700S08000E","LATLON","-","35,000 / 10,668","-7.00000 / 80.00000","60  / 8349 nm","","https://flightplandatabase.com/plan/1048871"
"64","•","KABTA","FIX","-","35,000 / 10,668","-5.90833 / 79.00000","88  / 8438 nm","","https://flightplandatabase.com/plan/1048871"
"65","•","KADAP","FIX","A327 (AWY-LO)","35,000 / 10,668","-2.00000 / 84.16000","388  / 8826 nm","","https://flightplandatabase.com/plan/1048871"
"66","•","KALOX","FIX","A327 (AWY-LO)","35,000 / 10,668","-0.31084 / 86.37148","167  / 8993 nm","","https://flightplandatabase.com/plan/1048871"
"67","•","GUTOX","FIX","A327 (AWY-LO)","35,000 / 10,668","2.28905 / 89.77272","257  / 9250 nm","","https://flightplandatabase.com/plan/1048871"
"68","•","400N09000E","LATLON","-","35,000 / 10,668","4.00000 / 90.00000","103  / 9354 nm","","https://flightplandatabase.com/plan/1048871"
"69","•","500N09000E","LATLON","-","35,000 / 10,668","5.00000 / 90.00000","60  / 9414 nm","","https://flightplandatabase.com/plan/1048871"
"70","•","600N09000E","LATLON","-","35,000 / 10,668","6.00000 / 90.00000","60  / 9474 nm","","https://flightplandatabase.com/plan/1048871"
"71","•","700N09000E","LATLON","-","35,000 / 10,668","7.00000 / 90.00000","60  / 9534 nm","","https://flightplandatabase.com/plan/1048871"
"72","•","800N09000E","LATLON","-","35,000 / 10,668","8.00000 / 90.00000","60  / 9594 nm","","https://flightplandatabase.com/plan/1048871"
"73","•","900N09000E","LATLON","-","35,000 / 10,668","9.00000 / 90.00000","60  / 9654 nm","","https://flightplandatabase.com/plan/1048871"
"74","•","1000N09000E","LATLON","-","35,000 / 10,668","10.00000 / 90.00000","60  / 9714 nm","","https://flightplandatabase.com/plan/1048871"
"75","•","DOTEN","FIX","-","35,000 / 10,668","10.74275 / 89.99731","44  / 9759 nm","","https://flightplandatabase.com/plan/1048871"
"76","•","PPB","VOR","P762 (AWY-LO)","35,000 / 10,668","11.64967 / 92.74722","170  / 9930 nm","PORT BLAIR VOR-DME","https://flightplandatabase.com/plan/1048871"
"77","•","LADER","FIX","P762 (AWY-LO)","35,000 / 10,668","12.20000 / 94.04167","82  / 10013 nm","","https://flightplandatabase.com/plan/1048871"
"78","•","LULDA","FIX","P762 (AWY-LO)","35,000 / 10,668","12.39742 / 94.41344","24  / 10037 nm","","https://flightplandatabase.com/plan/1048871"
"79","•","1300N09500E","LATLON","-","35,000 / 10,668","13.00000 / 95.00000","49  / 10087 nm","","https://flightplandatabase.com/plan/1048871"
"80","•","1400N09500E","LATLON","-","35,000 / 10,668","14.00000 / 95.00000","60  / 10147 nm","","https://flightplandatabase.com/plan/1048871"
"81","•","1500N09500E","LATLON","-","28,300 / 8,626","15.00000 / 95.00000","60  / 10207 nm","","https://flightplandatabase.com/plan/1048871"
"82","O","VYYY","APT","-","0 / 0","16.91084 / 96.13568","132  / 10340 nm","YANGON INTL","https://flightplandatabase.com/plan/1048871"
"83","O","40U","APT","-","0 / 0","40.98607 / -109.67848","- / 0 nm","MANILA","https://flightplandatabase.com/plan/764347"
"84","•","BPI","VOR","-","34,800 / 10,607","42.57944 / -110.10922","97  / 97 nm","BIG PINEY VOR-DME","https://flightplandatabase.com/plan/764347"
"85","•","IDECA","FIX","V328 (AWY-LO)","35,000 / 10,668","42.85863 / -110.27382","18  / 115 nm","","https://flightplandatabase.com/plan/764347"
"86","•","TUVOC","FIX","V328 (AWY-LO)","35,000 / 10,668","43.25268 / -110.50888","25  / 141 nm","","https://flightplandatabase.com/plan/764347"
"87","•","JAC","VOR","V328 (AWY-LO)","35,000 / 10,668","43.62103 / -110.73169","24  / 165 nm","JACKSON VOR-DME","https://flightplandatabase.com/plan/764347"
"88","•","DBS","VOR","V520 (AWY-LO)","35,000 / 10,668","44.08886 / -112.20933","69  / 235 nm","DUBOIS VORTAC","https://flightplandatabase.com/plan/764347"
"89","•","DLN","VOR","V21 (AWY-LO)","35,000 / 10,668","45.24858 / -112.54714","71  / 306 nm","DILLON VOR-DME","https://flightplandatabase.com/plan/764347"
"90","•","DIVID","FIX","V257 (AWY-LO)","35,000 / 10,668","45.88690 / -112.70998","38  / 345 nm","","https://flightplandatabase.com/plan/764347"
"91","•","CPN","VOR","V257 (AWY-LO)","35,000 / 10,668","46.03200 / -112.74753","8  / 354 nm","COPPERTOWN VOR-DME","https://flightplandatabase.com/plan/764347"
"92","•","UBIJO","FIX","V86 (AWY-LO)","35,000 / 10,668","46.21068 / -113.01469","15  / 370 nm","","https://flightplandatabase.com/plan/764347"
"93","•","TAGOE","FIX","V86 (AWY-LO)","35,000 / 10,668","46.77915 / -113.88292","49  / 419 nm","","https://flightplandatabase.com/plan/764347"
"94","•","MSO","VOR","V86 (AWY-LO)","35,000 / 10,668","46.90796 / -114.08365","11  / 430 nm","","https://flightplandatabase.com/plan/764347"
"95","•","ALTON","FIX","V2 (AWY-LO)","35,000 / 10,668","47.03191 / -114.42838","15  / 446 nm","","https://flightplandatabase.com/plan/764347"
"96","•","LIBRE","FIX","V2 (AWY-LO)","35,000 / 10,668","47.08581 / -114.57970","6  / 453 nm","","https://flightplandatabase.com/plan/764347"
"97","•","MLP","DME","V2 (AWY-LO)","35,000 / 10,668","47.45690 / -115.64604","48  / 502 nm","MULLAN PASS VOR-DME","https://flightplandatabase.com/plan/764347"
"98","•","TWIGY","FIX","J599 (AWY-HI)","35,000 / 10,668","48.96170 / -115.95939","91  / 594 nm","","https://flightplandatabase.com/plan/764347"
"99","•","YXC34","FIX","J599 (AWY-HI)","35,000 / 10,668","48.99389 / -115.96850","1  / 595 nm","","https://flightplandatabase.com/plan/764347"
"100","•","FINBO","FIX","J599 (AWY-HI)","35,000 / 10,668","49.27550 / -116.02556","17  / 613 nm","","https://flightplandatabase.com/plan/764347"
"101","•","YXC","VOR","J599 (AWY-HI)","35,000 / 10,668","49.55499 / -116.08770","16  / 629 nm","CRANBROOK VOR-DME","https://flightplandatabase.com/plan/764347"
"102","•","YNY","VOR","J569 (AWY-HI)","35,000 / 10,668","50.67797 / -118.93867","128  / 758 nm","ENDERBY VOR-DME","https://flightplandatabase.com/plan/764347"
"103","•","YWL","VOR","J569 (AWY-HI)","35,000 / 10,668","52.23711 / -122.16886","152  / 911 nm","WILLIAMS LAKE VOR-DME","https://flightplandatabase.com/plan/764347"
"104","•","CASSL","FIX","J569 (AWY-HI)","35,000 / 10,668","52.54594 / -122.74739","28  / 939 nm","","https://flightplandatabase.com/plan/764347"
"105","•","NAAPP","FIX","J569 (AWY-HI)","35,000 / 10,668","53.88833 / -125.44000","125  / 1065 nm","","https://flightplandatabase.com/plan/764347"
"106","•","YYD","VOR","V324 (AWY-LO)","35,000 / 10,668","54.45233 / -126.65089","54  / 1120 nm","HOUSTON VOR-DME","https://flightplandatabase.com/plan/764347"
"107","•","DUXAR","FIX","5E83 (AWY-HI)","35,000 / 10,668","56.77167 / -129.42833","168  / 1288 nm","","https://flightplandatabase.com/plan/764347"
"108","•","YXY","VOR","5E83 (AWY-HI)","35,000 / 10,668","60.61889 / -135.13889","291  / 1579 nm","WHITEHORSE VOR-DME","https://flightplandatabase.com/plan/764347"
"109","•","BIBEM","FIX","J515 (AWY-HI)","35,000 / 10,668","62.67217 / -141.00000","207  / 1787 nm","","https://flightplandatabase.com/plan/764347"
"110","•","ORT","VOR","J515 (AWY-HI)","35,000 / 10,668","62.94717 / -141.91275","30  / 1817 nm","NORTHWAY VORTAC","https://flightplandatabase.com/plan/764347"
"111","•","FAI","VOR","J502 (AWY-HI)","35,000 / 10,668","64.80008 / -148.01197","195  / 2013 nm","FAIRBANKS VORTAC","https://flightplandatabase.com/plan/764347"
"112","•","SIGME","FIX","T231 (AWY-LO)","35,000 / 10,668","65.09661 / -149.50000","41  / 2055 nm","","https://flightplandatabase.com/plan/764347"
"113","•","ZUTUL","FIX","T231 (AWY-LO)","35,000 / 10,668","66.47341 / -158.49994","236  / 2291 nm","","https://flightplandatabase.com/plan/764347"
"114","•","OTZ","VOR","T231 (AWY-LO)","35,000 / 10,668","66.88569 / -162.53994","99  / 2390 nm","KOTZEBUE VOR-DME","https://flightplandatabase.com/plan/764347"
"115","•","PHO","NDB","T229 (AWY-LO)","35,000 / 10,668","68.34464 / -166.79822","130  / 2521 nm","POINT HOPE NDB","https://flightplandatabase.com/plan/764347"
"116","•","6900N17000W","LATLON","-","35,000 / 10,668","69.00000 / -170.00000","80  / 2601 nm","","https://flightplandatabase.com/plan/764347"
"117","•","6900N17500W","LATLON","-","35,000 / 10,668","69.00000 / -175.00000","107  / 2709 nm","","https://flightplandatabase.com/plan/764347"
"118","•","BABAD","FIX","-","35,000 / 10,668","68.97500 / -178.78333","81  / 2791 nm","","https://flightplandatabase.com/plan/764347"
"119","•","UHMI","APT","A218 (AWY-LO)","35,000 / 10,668","68.90500 / -179.45667","15  / 2806 nm","","https://flightplandatabase.com/plan/764347"
"120","•","GONAM","FIX","A218 (AWY-LO)","35,000 / 10,668","68.40333 / 176.55528","92  / 2898 nm","","https://flightplandatabase.com/plan/764347"
"121","•","ABILA","FIX","A218 (AWY-LO)","35,000 / 10,668","67.54167 / 170.86167","138  / 3036 nm","","https://flightplandatabase.com/plan/764347"
"122","•","6800N16500E","LATLON","-","35,000 / 10,668","68.00000 / 165.00000","135  / 3172 nm","","https://flightplandatabase.com/plan/764347"
"123","•","6800N16000E","LATLON","-","35,000 / 10,668","68.00000 / 160.00000","112  / 3285 nm","","https://flightplandatabase.com/plan/764347"
"124","•","6800N15500E","LATLON","-","35,000 / 10,668","68.00000 / 155.00000","112  / 3397 nm","","https://flightplandatabase.com/plan/764347"
"125","•","6800N15000E","LATLON","-","35,000 / 10,668","68.00000 / 150.00000","112  / 3509 nm","","https://flightplandatabase.com/plan/764347"
"126","•","KOTEL","FIX","-","35,000 / 10,668","68.27167 / 147.80333","51  / 3561 nm","","https://flightplandatabase.com/plan/764347"
"127","•","BOBRU","FIX","-","35,000 / 10,668","68.21667 / 146.01833","39  / 3601 nm","","https://flightplandatabase.com/plan/764347"
"128","•","VIKBI","FIX","-","35,000 / 10,668","68.28500 / 142.78500","72  / 3673 nm","","https://flightplandatabase.com/plan/764347"
"129","•","UBIBA","FIX","G494 (AWY-LO)","35,000 / 10,668","65.31833 / 137.91000","212  / 3885 nm","","https://flightplandatabase.com/plan/764347"
"130","•","EDALO","FIX","-","35,000 / 10,668","65.27000 / 134.70333","80  / 3966 nm","","https://flightplandatabase.com/plan/764347"
"131","•","UEEE","APT","G495 (AWY-LO)","35,000 / 10,668","62.09325 / 129.77068","231  / 4197 nm","Yakutsk","https://flightplandatabase.com/plan/764347"
"132","•","RUKAN","FIX","G495 (AWY-LO)","35,000 / 10,668","60.33500 / 127.42500","125  / 4323 nm","","https://flightplandatabase.com/plan/764347"
"133","•","UEEA","APT","G495 (AWY-LO)","35,000 / 10,668","58.60430 / 125.40964","120  / 4443 nm","Aldan","https://flightplandatabase.com/plan/764347"
"134","•","DOKUR","FIX","G495 (AWY-LO)","35,000 / 10,668","58.23389 / 124.91111","27  / 4471 nm","","https://flightplandatabase.com/plan/764347"
"135","•","LAGOR","FIX","G495 (AWY-LO)","35,000 / 10,668","57.48389 / 123.95083","54  / 4525 nm","","https://flightplandatabase.com/plan/764347"
"136","•","MAKIN","FIX","G495 (AWY-LO)","35,000 / 10,668","56.81389 / 123.13250","48  / 4573 nm","","https://flightplandatabase.com/plan/764347"
"137","•","SUDIN","FIX","G495 (AWY-LO)","35,000 / 10,668","55.82500 / 121.98667","70  / 4644 nm","","https://flightplandatabase.com/plan/764347"
"138","•","KU","NDB","G495 (AWY-LO)","35,000 / 10,668","53.72556 / 119.76583","147  / 4792 nm","MOGOCHA NDB","https://flightplandatabase.com/plan/764347"
"139","•","SOVIT","FIX","G496 (AWY-LO)","35,000 / 10,668","52.80500 / 118.78833","65  / 4857 nm","","https://flightplandatabase.com/plan/764347"
"140","•","DIBOR","FIX","G496 (AWY-LO)","35,000 / 10,668","51.60889 / 117.59556","84  / 4941 nm","","https://flightplandatabase.com/plan/764347"
"141","•","NAREM","FIX","G496 (AWY-LO)","35,000 / 10,668","50.38389 / 116.45056","85  / 5027 nm","","https://flightplandatabase.com/plan/764347"
"142","•","SULOK","FIX","B161 (AWY-LO)","35,000 / 10,668","49.90000 / 115.75000","39  / 5066 nm","","https://flightplandatabase.com/plan/764347"
"143","•","DORUT","FIX","G218 (AWY-LO)","35,000 / 10,668","48.19919 / 114.86087","107  / 5174 nm","","https://flightplandatabase.com/plan/764347"
"144","•","MENOR","FIX","G218 (AWY-LO)","35,000 / 10,668","46.49727 / 114.03159","107  / 5282 nm","","https://flightplandatabase.com/plan/764347"
"145","•","POLHO","FIX","G218 (AWY-LO)","35,000 / 10,668","44.78333 / 113.25000","108  / 5390 nm","","https://flightplandatabase.com/plan/764347"
"146","•","TMR","VOR","G218 (AWY-LO)","35,000 / 10,668","41.84500 / 113.15000","176  / 5567 nm","TUMURTAI VOR-DME","https://flightplandatabase.com/plan/764347"
"147","•","SZ","NDB","-","35,000 / 10,668","40.52500 / 112.49167","84  / 5651 nm","LIANGCHENG NDB","https://flightplandatabase.com/plan/764347"
"148","•","BAV","VOR","A596 (AWY-LO)","35,000 / 10,668","40.56000 / 109.99500","113  / 5765 nm","BAOTOU VOR-DME","https://flightplandatabase.com/plan/764347"
"149","•","DKO","VOR","A596 (AWY-LO)","35,000 / 10,668","40.31500 / 107.00000","137  / 5903 nm","DENGKOU VOR-DME","https://flightplandatabase.com/plan/764347"
"150","•","3900N10500E","LATLON","-","35,000 / 10,668","39.00000 / 105.00000","121  / 6025 nm","","https://flightplandatabase.com/plan/764347"
"151","•","3800N10500E","LATLON","-","35,000 / 10,668","38.00000 / 105.00000","60  / 6085 nm","","https://flightplandatabase.com/plan/764347"
"152","•","JTA","VOR","B330 (AWY-LO)","35,000 / 10,668","37.19500 / 104.08000","65  / 6150 nm","JINGTAI VOR-DME","https://flightplandatabase.com/plan/764347"
"153","•","OMBON","FIX","B330 (AWY-LO)","35,000 / 10,668","33.35667 / 104.27167","230  / 6380 nm","","https://flightplandatabase.com/plan/764347"
"154","•","DOREX","FIX","B330 (AWY-LO)","35,000 / 10,668","31.14667 / 104.38000","132  / 6513 nm","","https://flightplandatabase.com/plan/764347"
"155","•","JTG","VOR","B330 (AWY-LO)","35,000 / 10,668","30.87167 / 104.39333","16  / 6530 nm","JINTANG VOR-DME","https://flightplandatabase.com/plan/764347"
"156","•","FJC","VOR","G212 (AWY-LO)","35,000 / 10,668","29.92833 / 104.30500","56  / 6587 nm","FUJIACHANG VOR-DME","https://flightplandatabase.com/plan/764347"
"157","•","OMLIP","FIX","G212 (AWY-LO)","35,000 / 10,668","27.71000 / 104.28667","133  / 6720 nm","","https://flightplandatabase.com/plan/764347"
"158","•","KMG","VOR","-","35,000 / 10,668","25.01667 / 102.73333","182  / 6902 nm","KUNMING VOR-DME","https://flightplandatabase.com/plan/764347"
"159","•","GULOT","FIX","A599 (AWY-LO)","35,000 / 10,668","24.48333 / 101.54333","72  / 6974 nm","","https://flightplandatabase.com/plan/764347"
"160","•","MAKUL","FIX","A599 (AWY-LO)","35,000 / 10,668","24.05167 / 100.57667","58  / 7033 nm","","https://flightplandatabase.com/plan/764347"
"161","•","GMA","VOR","A599 (AWY-LO)","35,000 / 10,668","23.53167 / 99.41167","71  / 7105 nm","GENGMA VOR-DME","https://flightplandatabase.com/plan/764347"
"162","•","LINSO","FIX","A599 (AWY-LO)","35,000 / 10,668","23.37500 / 98.91667","28  / 7133 nm","","https://flightplandatabase.com/plan/764347"
"163","•","LSO","VOR","A599 (AWY-LO)","35,000 / 10,668","22.98422 / 97.74619","68  / 7202 nm","LASHIO VOR-DME","https://flightplandatabase.com/plan/764347"
"164","•","BGO","VOR","V2 (AWY-LO)","7,000 / 2,134","17.31961 / 96.51647","347  / 7549 nm","BAGO VOR-DME","https://flightplandatabase.com/plan/764347"
"165","O","VYYY","APT","-","0 / 0","16.91084 / 96.13568","32  / 7582 nm","YANGON INTL","https://flightplandatabase.com/plan/764347"
"166","O","VYYY","APT","-","0 / 0","16.91084 / 96.13568","- / 0 nm","YANGON INTL","https://flightplandatabase.com/plan/810235"
"167","•","LATAD","FIX","-","35,000 / 10,668","17.00133 / 97.87964","100  / 100 nm","","https://flightplandatabase.com/plan/810235"
"168","•","MAKAS","FIX","G473 (AWY-LO)","35,000 / 10,668","16.83469 / 98.49625","36  / 137 nm","","https://flightplandatabase.com/plan/810235"
"169","•","PSL","VOR","G473 (AWY-LO)","35,000 / 10,668","16.77037 / 100.29131","103  / 240 nm","PHITSANULOK VOR-DME","https://flightplandatabase.com/plan/810235"
"170","•","CMP","VOR","G473 (AWY-LO)","35,000 / 10,668","16.63647 / 101.98483","97  / 338 nm","CHUM PHAE VOR-DME","https://flightplandatabase.com/plan/810235"
"171","•","UBL","VOR","G473 (AWY-LO)","35,000 / 10,668","15.24520 / 104.86592","186  / 524 nm","UBON VOR-DME","https://flightplandatabase.com/plan/810235"
"172","•","PAK","VOR","B202 (AWY-LO)","35,000 / 10,668","15.19667 / 105.73806","50  / 574 nm","PAKSE VOR-DME","https://flightplandatabase.com/plan/810235"
"173","•","BOMPA","FIX","B202 (AWY-LO)","35,000 / 10,668","14.33333 / 107.40000","109  / 684 nm","","https://flightplandatabase.com/plan/810235"
"174","•","PK","NDB","B202 (AWY-LO)","35,000 / 10,668","14.00667 / 108.00889","40  / 725 nm","PLEIKU NDB","https://flightplandatabase.com/plan/810235"
"175","•","PCA","VOR","G474 (AWY-LO)","35,000 / 10,668","13.95722 / 109.04250","60  / 785 nm","PHUCAT VOR-DME","https://flightplandatabase.com/plan/810235"
"176","•","VEPAM","FIX","L628 (AWY-LO)","35,000 / 10,668","13.96667 / 110.00000","55  / 841 nm","","https://flightplandatabase.com/plan/810235"
"177","•","DAMEL","FIX","L628 (AWY-LO)","35,000 / 10,668","13.97833 / 111.51000","88  / 929 nm","","https://flightplandatabase.com/plan/810235"
"178","•","MESOX","FIX","L628 (AWY-LO)","35,000 / 10,668","13.98000 / 113.04500","89  / 1018 nm","","https://flightplandatabase.com/plan/810235"
"179","•","ARESI","FIX","L628 (AWY-LO)","35,000 / 10,668","13.97333 / 114.45000","81  / 1100 nm","","https://flightplandatabase.com/plan/810235"
